mp3_title	youtube_title	used_query	youtube_url
Elley Duhé - MIDDLE OF THE NIGHT (Lyrics)(M4A_128K)	Elley Duhé - MIDDLE OF THE NIGHT (Official Video)	Elley Duhé - MIDDLE OF THE NIGHT (Lyrics)(M4A_128K)	https://www.youtube.com/watch?v=oSHzUD-uqKY
Eminem - Mockingbird (Lyrics)(M4A_128K)	Eminem - White America (Official Music Video)	Eminem - Mockingbird (Lyrics)(M4A_128K)	https://www.youtube.com/watch?v=RZIzD0ZfTFg
Eminem - Mockingbird (Slowed _ Reverb)(MP3_160K)	Eminem - Mockingbird (Slowed & Reverb)	Eminem - Mockingbird (Slowed _ Reverb)(MP3_160K)	https://www.youtube.com/watch?v=r3PLALIaB7I
FUNK DO BOUNCE (Slowed)(MP3_160K)	Ariis - FUNK DO BOUNCE (Ultra Slowed)	FUNK DO BOUNCE (Slowed)(MP3_160K)	https://www.youtube.com/watch?v=MUe1ZFrB9Xk
Fujii Kaze - Shinunoga E-Wa (Lyrics)(M4A_128K)	Fujii Kaze - Shinunoga E-Wa (Not a MV)	Fujii Kaze - Shinunoga E-Wa (Lyrics)(M4A_128K)	https://www.youtube.com/watch?v=dawrQnvwMTY
Funk de Beleza (Slowed)(MP3_160K)	𝘕𝘈𝘛𝘌𝘒𝘐 - 𝙁𝙐𝙉𝙆 𝘿𝙀 𝘽𝙀𝙇𝙀𝙕𝘼 x 𝘼𝙨𝙝𝙡𝙚𝙮 | [ 𝘗𝘦𝘳𝘧𝘦𝘤𝘵 𝘚𝘭𝘰𝘸𝘦𝘥 + 𝘙𝘦𝘷𝘦𝘳𝘣 ] | [ 𝘽𝙧𝙖𝙯𝙞𝙡𝙞𝙖𝙣 𝙁𝙪𝙣𝙠 ]	Funk de Beleza (Slowed)(MP3_160K)	https://www.youtube.com/watch?v=BSppHa19ueQ
GLORY(MP3_160K)	Lofi_MANIAC (Official Video)_ YO YO HONEY SINGH _ ESHA GUPTA _ GLORY _ BHUSHAN KUMAR(MP3_160K)	GLORY(MP3_160K)	https://www.youtube.com/watch?v=11g27WycY10
GODS ft. NewJeans (뉴진스) (Official Music Video) _ Worlds 2023 Anthem - League of Legends(MP3_160K)	GODS ft. NewJeans (뉴진스) (Official Music Video) | Worlds 2023 Anthem - League of Legends	GODS ft. NewJeans (뉴진스) (Official Music Video) _ Worlds 2023 Anthem - League of Legends(MP3_160K)	https://www.youtube.com/watch?v=C3GouGa0noM
GRe4N BOYZ「キセキ」× ONE PIECE ～TVアニメ エッグヘッド編4月再開記念スペシャルコラボレーションMV～(mp3)	GRe4N BOYZ「キセキ」× ONE PIECE ～TVアニメ エッグヘッド編4月再開記念スペシャルコラボレーションMV～	GRe4N BOYZ「キセキ」× ONE PIECE ～TVアニメ エッグヘッド編4月再開記念スペシャルコラボレーションMV～(mp3)	https://www.youtube.com/watch?v=YuyswfLIVG0
Ghum (feat. Moontasir Rakib)(MP3_50K)	Ghum (Official)	Ghum (feat. Moontasir Rakib)(MP3_50K)	https://www.youtube.com/watch?v=9DjeWYS52kY
Ghum _ Odd Signature _ Lofi Remix _ Sanjara Javed _ NabruNation(MP3_160K)	Ghum - Odd Signature [Official]	Ghum _ Odd Signature _ Lofi Remix _ Sanjara Javed _ NabruNation(MP3_160K)	https://www.youtube.com/watch?v=mli5roiIW-s
Gigi Perez - Sailor Song (Lyrics)	Gigi Perez - Sailor Song (Official Music Video)	Gigi Perez - Sailor Song (Lyrics)	https://www.youtube.com/watch?v=1lrFsXkT_rM
Good Kid - From The Start (Laufey Cover)	From the Start|Good Kid x Laufey	Good Kid - From The Start (Laufey Cover)	https://www.youtube.com/watch?v=KKK4GuwTsE0
Gulbahar ｜ গুলবাহার ｜ Ishaan এর Gaan ｜ Shuvendu Das Shuvo ｜ Official Music Video	Gulbahar | গুলবাহার | Ishaan এর Gaan | Shuvendu Das Shuvo | Official Music Video	Gulbahar ｜ গুলবাহার ｜ Ishaan এর Gaan ｜ Shuvendu Das Shuvo ｜ Official Music Video	https://www.youtube.com/watch?v=Ib_L3vuUX5k
HISTED_ TXVSTERPLAYA - MASHA ULTRAFUNK (Brazilian Funk   Phonk_ Tik Tok Remix Viral 2024)(MP3_160K)	HISTED, TXVSTERPLAYA - MASHA ULTRAFUNK [10 HOURS]	HISTED_ TXVSTERPLAYA - MASHA ULTRAFUNK (Brazilian Funk Phonk_ Tik Tok Remix Viral 2024)(MP3_160K)	https://www.youtube.com/watch?v=0JEKVXFD77k
Hamari Adhuri Kahani (Slowed   Reverb)(MP3_160K)	Lofi Song 💤 / Lofi Mashup 💔 Song /🥺Emotional Song / Use Headphone 🎧	Hamari Adhuri Kahani (Slowed Reverb)(MP3_160K)	https://www.youtube.com/watch?v=KlrHVBpXJls
Har Fun Maula X Money in the Grave(MP3_160K)	21 Savage - redrum (Official Music Video)	Har Fun Maula X Money in the Grave(MP3_160K)	https://www.youtube.com/watch?v=U4mADkt6o-M
Harry Styles - As It Was (Lyrics)	Harry Styles - As It Was (Official Video)	Harry Styles - As It Was (Lyrics)	https://www.youtube.com/watch?v=H5v3kku4y6Q
Hunter X Hunter Opening 1 _ Departure_(MP3_160K)	R3HAB & VINAI - How We Party (Official Music Video)	Hunter X Hunter Opening 1 _ Departure_(MP3_160K)	https://www.youtube.com/watch?v=TL1ByAIf8Ck
IRIS OUT	米津玄師  Kenshi Yonezu - IRIS OUT	IRIS OUT	https://www.youtube.com/watch?v=LmZD-TU96q4
Imagine Dragons - Bones (Official Lyric Video)(M4A_128K)	Dxrk ダーク - RAVE (Official Audio)	Imagine Dragons - Bones (Official Lyric Video)(M4A_128K)	https://www.youtube.com/watch?v=PTZgxW_3LIQ
JVKE - her (Lyrics)	JVKE - 'her' (feat. ZVC, Annika Wells, Kaden Hawke, John Michael Howell, Forrest Frank)	JVKE - her (Lyrics)	https://www.youtube.com/watch?v=s7h546_EPwQ
